model,dataset,fold,Hit Rate,nDCG,MRR
AE_BPR,Amazon,0,0.28631905550734926,0.17325044249542232,0.15531748043110968
AE_BPR,Amazon,1,0.3099839604533144,0.190471979179494,0.17002233494382032
AE_BPR,Amazon,2,0.3089716284084037,0.19098793973114975,0.17048995427734126
AE_BPR,Amazon,3,0.30644737188083404,0.1892434149633479,0.16964408696351804
AE_BPR,Amazon,4,0.29721805895190767,0.1844276250819907,0.16702618447976608
AE_BPR,IMDb,0,0.16235129461161651,0.09091013458655693,0.09227014314600349
AE_BPR,IMDb,1,0.15857242827151855,0.08571013643831825,0.0871009924676836
AE_BPR,IMDb,2,0.15311406578026593,0.08247557574001117,0.08290991200137816
AE_BPR,IMDb,3,0.158852344296711,0.08644440973305823,0.08792618625888776
AE_BPR,IMDb,4,0.18838348495451365,0.10075000714551748,0.09946166617539529
AE_BPR,Rotten Tomatoes,0,0.429337418613558,0.23489639595079537,0.19494826498161824
AE_BPR,Rotten Tomatoes,1,0.4078896974339334,0.20853143375618116,0.170617944646578
AE_BPR,Rotten Tomatoes,2,0.3351206434316354,0.17907672487660692,0.1572808997972139
AE_BPR,Rotten Tomatoes,3,0.5672156261968594,0.3005683955025929,0.23663803155729937
AE_BPR,Rotten Tomatoes,4,0.44427422443508235,0.2376509340774007,0.1963114906224546
GHC2F_Topic,IMDb,0,0.15857242827151855,0.08583701307712571,0.08624012611921794
GHC2F_Topic,IMDb,1,0.15507347795661303,0.08521164248873114,0.08652765545721951
GHC2F_Topic,IMDb,2,0.15591322603219035,0.08317995287568278,0.08402541378511492
GHC2F_Topic,IMDb,3,0.14191742477256822,0.0777419861118671,0.08063230213177985
GHC2F_Topic,IMDb,4,0.16724982505248426,0.08993172624710079,0.08990412859791946
GHC2F_Topic,Rotten Tomatoes,0,0.5036384527001149,0.34793049109938273,0.3185431134219682
GHC2F_Topic,Rotten Tomatoes,1,0.551129835312141,0.40077836824878,0.3714626038157002
GHC2F_Topic,Rotten Tomatoes,2,0.47759479126771354,0.33979587085188634,0.3163720018654882
GHC2F_Topic,Rotten Tomatoes,3,0.609728073535044,0.44647570452203805,0.4109507272672842
