block,GHCF_Topic,AE_BPR,GHC2F_Topic,GHCF_Text,LETTER,CARL,GHC2F_Text,TARMF,DAML,ConvMF,DeepCoNN,GRAFT,KANN
A f_0,0.0053 (2º),0.0077 (1º),0.0044 (3º),0.0043 (4º),0.0033 (5º),0.0008 (9º),0.0014 (6º),0.0009 (8º),0.0012 (7º),0.0005 (10º),0.0004 (11º),0.0001 (13º),0.0001 (12º)
A f_1,0.0066 (2º),0.0100 (1º),0.0049 (4º),0.0057 (3º),0.0011 (10º),0.0016 (8º),0.0016 (9º),0.0049 (5º),0.0025 (7º),0.0010 (11º),0.0047 (6º),0.0001 (13º),0.0002 (12º)
A f_2,0.0068 (2º),0.0101 (1º),0.0061 (3º),0.0060 (4º),0.0014 (10º),0.0018 (7º),0.0017 (9º),0.0050 (5º),0.0017 (8º),0.0043 (6º),0.0009 (11º),0.0001 (13º),0.0002 (12º)
A f_3,0.0071 (3º),0.0098 (1º),0.0062 (4º),0.0061 (5º),0.0011 (9º),0.0018 (7º),0.0020 (6º),0.0073 (2º),0.0017 (8º),0.0011 (10º),0.0007 (11º),0.0001 (13º),0.0002 (12º)
A f_4,0.0064 (3º),0.0092 (1º),0.0061 (4º),0.0060 (5º),0.0011 (10º),0.0019 (6º),0.0018 (7º),0.0073 (2º),0.0016 (8º),0.0014 (9º),0.0007 (11º),0.0001 (13º),0.0002 (12º)
I f_0,0.0028 (2º),0.0014 (4º),0.0012 (5º),0.0016 (3º),0.0048 (1º),0.0010 (6º),0.0005 (8º),0.0004 (11º),0.0005 (10º),0.0007 (7º),0.0005 (9º),0.0002 (12º),0.0001 (13º)
I f_1,0.0031 (2º),0.0012 (4º),0.0011 (5º),0.0013 (3º),0.0043 (1º),0.0011 (6º),0.0006 (8º),0.0008 (7º),0.0004 (11º),0.0005 (9º),0.0005 (10º),0.0003 (12º),0.0002 (13º)
I f_2,0.0025 (2º),0.0010 (6º),0.0011 (5º),0.0013 (3º),0.0047 (1º),0.0011 (4º),0.0007 (7º),0.0006 (8º),0.0005 (11º),0.0005 (10º),0.0006 (9º),0.0003 (12º),0.0001 (13º)
I f_3,0.0034 (2º),0.0012 (3º),0.0009 (5º),0.0009 (6º),0.0046 (1º),0.0010 (4º),0.0007 (8º),0.0006 (9º),0.0005 (11º),0.0007 (7º),0.0006 (10º),0.0003 (12º),0.0001 (13º)
I f_4,0.0025 (2º),0.0019 (3º),0.0014 (4º),0.0010 (6º),0.0045 (1º),0.0011 (5º),0.0006 (9º),0.0007 (8º),0.0006 (11º),0.0006 (10º),0.0007 (7º),0.0004 (12º),0.0001 (13º)
R T f_0,0.0894 (1º),0.0197 (4º),0.0558 (2º),0.0110 (5º),0.0251 (3º),0.0018 (8º),0.0039 (6º),0.0012 (12º),0.0020 (7º),0.0013 (9º),0.0013 (10º),0.0012 (11º),0.0001 (13º)
R T f_1,0.0836 (1º),0.0145 (4º),0.0820 (2º),0.0099 (5º),0.0307 (3º),0.0026 (8º),0.0053 (6º),0.0025 (9º),0.0027 (7º),0.0014 (11º),0.0014 (10º),0.0010 (12º),0.0002 (13º)
R T f_2,0.1087 (1º),0.0094 (5º),0.0513 (2º),0.0113 (4º),0.0290 (3º),0.0024 (7º),0.0039 (6º),0.0020 (8º),0.0015 (9º),0.0014 (10º),0.0014 (11º),0.0009 (12º),0.0001 (13º)
R T f_3,0.1076 (2º),0.0403 (3º),0.1119 (1º),0.0111 (4º),0.0095 (5º),0.0024 (7º),0.0057 (6º),0.0020 (8º),0.0017 (9º),0.0015 (10º),0.0011 (11º),0.0009 (12º),0.0003 (13º)
R T f_4,0.1138 (1º),0.0207 (3º),0.0711 (2º),0.0122 (5º),0.0168 (4º),0.0023 (7º),0.0065 (6º),0.0014 (9º),0.0018 (8º),0.0014 (10º),0.0013 (11º),0.0011 (12º),0.0001 (13º)
