review_idx,cluster,aspect,sentiment,mentions,confidence
0,0,price,neutral,1,0.7858583927154541
0,1,deli,neutral,1,0.47838956117630005
1,2,series,positive,1,0.7082436084747314
2,3,movie,positive,1,0.7023565769195557
3,4,writing,neutral,1,0.6935126185417175
3,5,editing,neutral,1,0.6812443137168884
3,6,acting,neutral,1,0.6852949857711792
3,7,ending,neutral,1,0.5841134786605835
4,8,picture,neutral,1,0.7403015494346619
4,9,sound,neutral,1,0.7675568461418152
5,10,setting,neutral,1,0.469528466463089
5,11,days,neutral,1,0.5733324289321899
7,12,martin sheen,negative,1,0.5815744400024414
8,13,adam west,positive,1,0.6207146048545837
8,14,batman,neutral,1,0.4886838495731354
9,2,series,positive,1,0.6286758184432983
10,15,story,positive,1,0.8458577990531921
13,16,red oaks,positive,1,0.9315481781959534
14,17,dvd,neutral,1,0.4540269374847412
14,18,disc,neutral,1,0.5021494030952454
15,19,vines,neutral,1,0.5160075426101685
18,7,ending,negative,1,0.483297199010849
19,3,movie,positive,1,0.9279677867889404
21,6,acting,neutral,1,0.8762566447257996
21,10,setting,neutral,1,0.7667467594146729
21,20,design,neutral,1,0.41335514187812805
21,21,costuming,neutral,1,0.8226279020309448
21,22,branagh,neutral,1,0.8331112265586853
21,23,hamlet,neutral,1,0.5744682550430298
21,24,jacobi,neutral,1,0.8825962543487549
21,25,claudius,neutral,1,0.6563099026679993
21,26,robin williams,neutral,1,0.6877633333206177
21,27,ity scene,neutral,1,0.8179527521133423
22,28,performer,positive,1,0.643990159034729
23,29,plot,negative,1,0.47921839356422424
23,30,blazing saddles,neutral,1,0.7770206928253174
24,31,hilarious,positive,1,0.7423930764198303
25,6,acting,positive,1,0.4709038734436035
25,32,script,neutral,1,0.4887831509113312
26,3,movie,positive,1,0.8300900459289551
27,33,officers,negative,1,0.5197492837905884
28,6,acting,positive,1,0.9047906994819641
32,34,dolphin,neutral,1,0.6900457143783569
32,35,people,neutral,1,0.7047964930534363
32,36,marine animal hospital,neutral,1,0.776974618434906
33,37,cinematography,neutral,1,0.5261553525924683
34,3,movie,positive,1,0.8589117527008057
35,6,acting,negative,1,0.47735321521759033
35,15,story,neutral,1,0.45574477314949036
35,29,plot,neutral,1,0.6668266654014587
35,38,dialog,neutral,1,0.5744298100471497
36,17,dvd,negative,1,0.8064640760421753
37,3,movie,positive,1,0.5067189335823059
38,39,action,positive,1,0.48063406348228455
38,40,lock,neutral,1,0.48452699184417725
40,3,movie,positive,1,0.9204402565956116
41,17,dvd,positive,1,0.8736011385917664
42,3,movie,positive,1,0.9230626821517944
43,9,sound,neutral,1,0.4978657066822052
43,41,blu-ray transfer,positive,1,0.5712125301361084
44,42,johnny maestro,positive,1,0.8791847229003906
45,43,ashley darby,negative,1,0.9361638426780701
47,38,dialog,neutral,1,0.5098398327827454
47,44,scenes,neutral,1,0.4667972922325134
48,45,features,neutral,1,0.5282622575759888
49,46,diane franklin,positive,1,0.8536773920059204
